spike_source,feature_type,decode_window_s,update_dt_s,n_units,target_name,decoder_name,n_train_samples,n_test_samples,mean_position_error_cm,median_position_error_cm,p90_position_error_cm,r2_x,r2_y,r2,correlation,mae,rmse,mean_circular_error_deg,median_circular_error_deg,p90_circular_error_deg,mae_cm,rmse_cm,accuracy,balanced_accuracy,macro_f1,confusion_matrix,class_labels
sorted,counts,0.025,0.025,200,position,ridge,16800,7200,29.141119235631514,27.24187370086405,50.971758952901844,0.4779467908265125,0.5319705108761071,,,,,,,,,,,,,,
sorted,counts,0.025,0.025,200,position,random_forest_regressor,16800,7200,35.35108016288065,33.39839517227229,59.2338709897638,0.23950076667761455,0.3366778545703015,,,,,,,,,,,,,,
sorted,counts,0.025,0.025,200,speed,ridge,16800,7200,,,,,,0.26224203496570153,0.5193174921136093,3.57460231831292,4.461355572944879,,,,,,,,,,
sorted,counts,0.025,0.025,200,speed,random_forest_regressor,16800,7200,,,,,,0.20838797469150316,0.4647728116147748,3.6721508912011616,4.621320363720886,,,,,,,,,,
sorted,counts,0.025,0.025,200,acceleration,ridge,16800,7200,,,,,,-0.007540892318634418,0.049249293762139906,34.51270236395057,56.945522069984676,,,,,,,,,,
sorted,counts,0.025,0.025,200,acceleration,random_forest_regressor,16800,7200,,,,,,-0.0008160792947407014,0.03638604993486489,32.60164548909593,56.755162984996595,,,,,,,,,,
sorted,counts,0.025,0.025,200,head_direction,ridge,16800,7200,,,,,,,,,,36.67822607413381,26.152442505120895,83.36453149205869,,,,,,,
sorted,counts,0.025,0.025,200,head_direction,random_forest_regressor,16800,7200,,,,,,,,,,43.65611993768766,31.20462281507426,102.65923437259583,,,,,,,
sorted,counts,0.025,0.025,200,distance_to_wall,ridge,16800,7200,,,,,,0.22900663091974172,0.5401997683933472,,,,,,6.920063355299331,8.651122809880283,,,,,
sorted,counts,0.025,0.025,200,distance_to_wall,random_forest_regressor,16800,7200,,,,,,0.2380208530862844,0.5217150342572503,,,,,,6.488510997733317,8.600400957202126,,,,,
sorted,counts,0.025,0.025,200,spatial_context,logistic_regression,16800,7200,,,,,,,,,,,,,,,0.5552777777777778,0.5625807153177264,0.5426908913017883,"[[909, 146, 279], [426, 2194, 1085], [443, 823, 895]]","['center', 'corner', 'wall']"
sorted,counts,0.025,0.025,200,spatial_context,random_forest_classifier,16800,7200,,,,,,,,,,,,,,,0.5430555555555555,0.5450755543678906,0.5063534698638126,"[[962, 186, 186], [732, 2334, 639], [662, 885, 614]]","['center', 'corner', 'wall']"
sorted,counts,0.025,0.025,200,movement_state,logistic_regression,16800,7200,,,,,,,,,,,,,,,0.49625,0.512099180369214,0.41821924449157916,"[[1963, 739, 339], [1234, 1457, 1170], [28, 117, 153]]","['fast', 'slow', 'still']"
sorted,counts,0.025,0.025,200,movement_state,random_forest_classifier,16800,7200,,,,,,,,,,,,,,,0.4597222222222222,0.5288269077206544,0.383424827084812,"[[2238, 450, 353], [1635, 887, 1339], [42, 71, 185]]","['fast', 'slow', 'still']"
sorted,counts,0.025,0.025,200,wall_distance_bin,logistic_regression,16800,7200,,,,,,,,,,,,,,,0.6347222222222222,0.6221989810707458,0.5252649074206716,"[[279, 81, 30], [398, 825, 568], [376, 1177, 3466]]","['center', 'middle', 'near_wall']"
sorted,counts,0.025,0.025,200,wall_distance_bin,random_forest_classifier,16800,7200,,,,,,,,,,,,,,,0.61875,0.6052424058773799,0.4847892112018266,"[[310, 44, 36], [538, 543, 710], [510, 907, 3602]]","['center', 'middle', 'near_wall']"
sorted,counts,0.05,0.025,200,position,ridge,16799,7200,23.68286229426908,21.517177954882644,42.38669148908567,0.6416293419024333,0.684470872115317,,,,,,,,,,,,,,
sorted,counts,0.05,0.025,200,position,random_forest_regressor,16799,7200,27.364279325537666,23.825386167856532,50.16168088902052,0.49081774618107865,0.5734913279547214,,,,,,,,,,,,,,
