spike_source,source,feature_type,decode_window_s,update_dt_s,n_units,target_name,target_family,decoder_name,n_train_samples,n_test_samples,mean_position_error_cm,median_position_error_cm,p90_position_error_cm,r2_x,r2_y,r2,correlation,mae,rmse,mean_circular_error_deg,median_circular_error_deg,p90_circular_error_deg,mae_cm,rmse_cm,accuracy,balanced_accuracy,macro_f1,confusion_matrix,class_labels
sorted,sorted,counts,0.05,0.025,200,position,continuous,ridge,16799,7200,23.68286229426908,21.517177954882644,42.38669148908567,0.6416293419024333,0.684470872115317,,,,,,,,,,,,,,
sorted,sorted,counts,0.05,0.025,200,position,continuous,pca_ridge,16799,7200,23.69060834180763,21.523041066125145,42.23913805463345,0.6425782497864229,0.6835169021097396,,,,,,,,,,,,,,
sorted,sorted,counts,0.05,0.025,200,position,continuous,random_forest_regressor,16799,7200,27.36427932553767,23.82538616785653,50.16168088902054,0.49081774618107865,0.5734913279547214,,,,,,,,,,,,,,
sorted,sorted,counts,0.05,0.025,200,position,continuous,bayesian_place_decoder,16799,7200,16.160697192757723,12.063339076975302,34.32371777380272,0.7485191508098916,0.8185712877018212,,,,,,,,,,,,,,
sorted,sorted,counts,0.05,0.025,200,speed,continuous,ridge,16799,7200,,,,,,0.3769216518781189,0.6210499935584192,3.2838067371533093,4.092933744647731,,,,,,,,,,
sorted,sorted,counts,0.05,0.025,200,speed,continuous,pca_ridge,16799,7200,,,,,,0.37783873772454557,0.6221612316026509,3.283219604198892,4.089920516999955,,,,,,,,,,
sorted,sorted,counts,0.05,0.025,200,speed,continuous,random_forest_regressor,16799,7200,,,,,,0.3060607517176691,0.5619972751572716,3.431772248234556,4.319406825152452,,,,,,,,,,
sorted,sorted,counts,0.05,0.025,200,acceleration,continuous,ridge,16799,7200,,,,,,-0.002622356658704472,0.06401080109149569,34.4455173629657,56.80635588392971,,,,,,,,,,
sorted,sorted,counts,0.05,0.025,200,acceleration,continuous,pca_ridge,16799,7200,,,,,,-0.0005774089394650073,0.06975216667130252,34.356934536059846,56.7483952167615,,,,,,,,,,
sorted,sorted,counts,0.05,0.025,200,acceleration,continuous,random_forest_regressor,16799,7200,,,,,,0.0005531794000538381,0.048977737009787685,33.06466131201155,56.716325130278406,,,,,,,,,,
