unit_id,cell_type,region,layer,channel,depth_um,place_x_cm,place_y_cm,hd_pref_rad,rate_model,ratinabox_class
0,CA1_pyr,CA1,pyramidal,15,280.0,9.312849490319284,0.9848778352401534,0.0,ratinabox_PlaceCells,PlaceCells
1,CA1_pyr,CA1,pyramidal,16,300.0,19.821725685670934,5.24214093370634,0.0,ratinabox_PlaceCells,PlaceCells
2,CA1_pyr,CA1,pyramidal,23,440.0,27.887337130705692,4.281529446658843,0.0,ratinabox_PlaceCells,PlaceCells
3,CA1_pyr,CA1,pyramidal,29,560.0,42.47012405423683,1.7813518390152285,0.0,ratinabox_PlaceCells,PlaceCells
4,CA1_pyr,CA1,pyramidal,2,20.0,56.01197257020303,1.0765769183725453,0.0,ratinabox_PlaceCells,PlaceCells
5,CA1_pyr,CA1,pyramidal,5,80.0,69.87595257797776,7.242123946787653,0.0,ratinabox_PlaceCells,PlaceCells
6,CA1_pyr,CA1,pyramidal,25,480.0,79.86788228051527,2.0037392528708198,0.0,ratinabox_PlaceCells,PlaceCells
7,CA1_pyr,CA1,pyramidal,29,560.0,91.17504177124542,9.476418962519082,0.0,ratinabox_PlaceCells,PlaceCells
8,CA1_pyr,CA1,pyramidal,8,140.0,6.987013910221365,18.182631017498945,0.0,ratinabox_PlaceCells,PlaceCells
9,CA1_pyr,CA1,pyramidal,10,180.0,14.918655803368297,14.268207431218888,0.0,ratinabox_PlaceCells,PlaceCells
10,CA1_pyr,CA1,pyramidal,27,520.0,34.31361646095027,20.599678734583136,0.0,ratinabox_PlaceCells,PlaceCells
11,CA1_pyr,CA1,pyramidal,13,240.0,43.19048510517896,16.12461301428869,0.0,ratinabox_PlaceCells,PlaceCells
12,CA1_pyr,CA1,pyramidal,9,160.0,56.84059101547185,18.460891856052708,0.0,ratinabox_PlaceCells,PlaceCells
13,CA1_pyr,CA1,pyramidal,25,480.0,70.04831136356594,17.64726572897554,0.0,ratinabox_PlaceCells,PlaceCells
14,CA1_pyr,CA1,pyramidal,8,140.0,86.67760257972998,14.955684114918782,0.0,ratinabox_PlaceCells,PlaceCells
15,CA1_pyr,CA1,pyramidal,13,240.0,98.15972821788364,17.220750620896176,0.0,ratinabox_PlaceCells,PlaceCells
16,CA1_pyr,CA1,pyramidal,20,380.0,8.746703907402074,30.314292886153105,0.0,ratinabox_PlaceCells,PlaceCells
17,CA1_pyr,CA1,pyramidal,17,320.0,19.046303422579737,28.965901887176095,0.0,ratinabox_PlaceCells,PlaceCells
18,CA1_pyr,CA1,pyramidal,3,40.0,30.990203579207577,32.54904002901117,0.0,ratinabox_PlaceCells,PlaceCells
19,CA1_pyr,CA1,pyramidal,1,0.0,45.56181086590315,28.278001261347153,0.0,ratinabox_PlaceCells,PlaceCells
20,CA1_pyr,CA1,pyramidal,26,500.0,58.15838053010863,30.849429039879922,0.0,ratinabox_PlaceCells,PlaceCells
21,CA1_pyr,CA1,pyramidal,23,440.0,64.92637439020251,35.95050829549307,0.0,ratinabox_PlaceCells,PlaceCells
22,CA1_pyr,CA1,pyramidal,26,500.0,77.40845452085848,27.488508660663975,0.0,ratinabox_PlaceCells,PlaceCells
23,CA1_pyr,CA1,pyramidal,17,320.0,93.58714204057583,35.670288070948025,0.0,ratinabox_PlaceCells,PlaceCells
24,CA1_pyr,CA1,pyramidal,25,480.0,1.736411491393694,41.85600149525979,0.0,ratinabox_PlaceCells,PlaceCells
25,CA1_pyr,CA1,pyramidal,10,180.0,16.35372454457068,44.98944281766392,0.0,ratinabox_PlaceCells,PlaceCells
26,CA1_pyr,CA1,pyramidal,14,260.0,31.992316515988982,43.08993240201555,0.0,ratinabox_PlaceCells,PlaceCells
27,CA1_pyr,CA1,pyramidal,24,460.0,45.91988940073713,39.66413544712344,0.0,ratinabox_PlaceCells,PlaceCells
28,CA1_pyr,CA1,pyramidal,4,60.0,57.37851930736784,48.12163071171145,0.0,ratinabox_PlaceCells,PlaceCells
29,CA1_pyr,CA1,pyramidal,10,180.0,72.99350332183275,39.20643168503536,0.0,ratinabox_PlaceCells,PlaceCells
30,CA1_pyr,CA1,pyramidal,4,60.0,77.87352629869079,45.952803802248624,0.0,ratinabox_PlaceCells,PlaceCells
31,CA1_pyr,CA1,pyramidal,14,260.0,98.0288117339906,45.07681217623593,0.0,ratinabox_PlaceCells,PlaceCells
32,CA1_pyr,CA1,pyramidal,30,580.0,2.0257040780140825,57.99750002918407,0.0,ratinabox_PlaceCells,PlaceCells
33,CA1_pyr,CA1,pyramidal,5,80.0,16.13947227626612,52.687279300381775,0.0,ratinabox_PlaceCells,PlaceCells
34,CA1_pyr,CA1,pyramidal,12,220.0,28.525061304874438,51.46589312087973,0.0,ratinabox_PlaceCells,PlaceCells
35,CA1_pyr,CA1,pyramidal,13,240.0,46.051736562872875,56.103577918574445,0.0,ratinabox_PlaceCells,PlaceCells
36,CA1_pyr,CA1,pyramidal,28,540.0,59.436343419374225,59.06295803109739,0.0,ratinabox_PlaceCells,PlaceCells
37,CA1_pyr,CA1,pyramidal,7,120.0,70.95714813074542,53.202017890650936,0.0,ratinabox_PlaceCells,PlaceCells
38,CA1_pyr,CA1,pyramidal,16,300.0,85.69740057752013,56.38382732055393,0.0,ratinabox_PlaceCells,PlaceCells
39,CA1_pyr,CA1,pyramidal,8,140.0,92.99366465641275,58.29582219694039,0.0,ratinabox_PlaceCells,PlaceCells
40,CA1_pyr,CA1,pyramidal,1,0.0,2.4226900555928887,70.42366363690508,0.0,ratinabox_PlaceCells,PlaceCells
41,CA1_pyr,CA1,pyramidal,23,440.0,22.47888250155431,66.00110886561565,0.0,ratinabox_PlaceCells,PlaceCells
42,CA1_pyr,CA1,pyramidal,2,20.0,35.18130715918504,71.29646637587655,0.0,ratinabox_PlaceCells,PlaceCells
43,CA1_pyr,CA1,pyramidal,9,160.0,48.06756658342437,74.06063913764592,0.0,ratinabox_PlaceCells,PlaceCells
44,CA1_pyr,CA1,pyramidal,15,280.0,57.200010611956266,72.81718986487789,0.0,ratinabox_PlaceCells,PlaceCells
45,CA1_pyr,CA1,pyramidal,15,280.0,64.08606815956793,68.59773574835857,0.0,ratinabox_PlaceCells,PlaceCells
46,CA1_pyr,CA1,pyramidal,4,60.0,85.26578029889494,66.82996969116573,0.0,ratinabox_PlaceCells,PlaceCells
47,CA1_pyr,CA1,pyramidal,30,580.0,89.38024908584539,66.2178822387832,0.0,ratinabox_PlaceCells,PlaceCells
48,CA1_pyr,CA1,pyramidal,23,440.0,9.51834810519397,83.2612216910153,0.0,ratinabox_PlaceCells,PlaceCells
49,CA1_pyr,CA1,pyramidal,29,560.0,15.980375248806672,77.09624692538118,0.0,ratinabox_PlaceCells,PlaceCells
50,CA1_pyr,CA1,pyramidal,3,40.0,34.17550990198518,76.78035360607389,0.0,ratinabox_PlaceCells,PlaceCells
51,CA1_pyr,CA1,pyramidal,22,420.0,43.55692414811532,77.6463611358025,0.0,ratinabox_PlaceCells,PlaceCells
52,CA1_pyr,CA1,pyramidal,9,160.0,56.888577670361975,84.34441736972997,0.0,ratinabox_PlaceCells,PlaceCells
53,CA1_pyr,CA1,pyramidal,17,320.0,67.97058489055712,77.72797254566612,0.0,ratinabox_PlaceCells,PlaceCells
54,CA1_pyr,CA1,pyramidal,28,540.0,84.85994816785832,82.80416552033755,0.0,ratinabox_PlaceCells,PlaceCells
55,CA1_pyr,CA1,pyramidal,9,160.0,95.16693402170627,78.79543128804431,0.0,ratinabox_PlaceCells,PlaceCells
56,CA1_pyr,CA1,pyramidal,22,420.0,8.391811226897088,97.42174436082863,0.0,ratinabox_PlaceCells,PlaceCells
57,CA1_pyr,CA1,pyramidal,5,80.0,19.23499877547658,92.1754507452211,0.0,ratinabox_PlaceCells,PlaceCells
58,CA1_pyr,CA1,pyramidal,10,180.0,35.0124674005748,96.37788813247717,0.0,ratinabox_PlaceCells,PlaceCells
59,CA1_pyr,CA1,pyramidal,30,580.0,41.78596624065924,96.16704122384182,0.0,ratinabox_PlaceCells,PlaceCells
60,CA1_pyr,CA1,pyramidal,13,240.0,59.65739095226513,98.10127529062686,0.0,ratinabox_PlaceCells,PlaceCells
61,CA1_pyr,CA1,pyramidal,16,300.0,64.35687977708872,95.499393146818,0.0,ratinabox_PlaceCells,PlaceCells
62,CA1_pyr,CA1,pyramidal,9,160.0,78.99861925098905,97.31622529324885,0.0,ratinabox_PlaceCells,PlaceCells
63,CA1_pyr,CA1,pyramidal,4,60.0,94.91088627583105,95.34526214853739,0.0,ratinabox_PlaceCells,PlaceCells
64,CA1_pyr,CA1,pyramidal,13,240.0,67.80743253141337,78.63514538892144,0.0,ratinabox_PlaceCells,PlaceCells
65,CA1_pyr,CA1,pyramidal,19,360.0,79.20504510148541,27.0451452646491,0.0,ratinabox_PlaceCells,PlaceCells
