spike_source,decode_window_s,feature_type,grouping_name,group_name,n_units,n_components,explained_variance_sum,explained_variance_by_component
ground_truth,0.05,global_pca,,all,200,3,0.1044314075545589,"[0.04611762276556295, 0.034266787595603525, 0.02404699719339242]"
ground_truth,0.05,region_pca,region,CA1,80,3,0.1924535918984947,"[0.08960542877871769, 0.058071341332252516, 0.04477682178752451]"
ground_truth,0.05,region_pca,region,CA2,40,3,0.23780885278180677,"[0.10635233354043151, 0.09982332783748765, 0.031633191403887616]"
ground_truth,0.05,region_pca,region,CA3,40,3,0.1979580841247981,"[0.08488638748357724, 0.067937004620337, 0.04513469202088386]"
ground_truth,0.05,region_pca,region,DG,40,3,0.15358477832344164,"[0.09213996671113385, 0.031240989604288606, 0.030203822008019195]"
ground_truth,0.1,global_pca,,all,200,3,0.16497637560203335,"[0.07449384803279017, 0.0538597318669884, 0.036622795702254775]"
ground_truth,0.1,region_pca,region,CA1,80,3,0.2860525123584978,"[0.1353585262866495, 0.08587902399290887, 0.0648149620789395]"
ground_truth,0.1,region_pca,region,CA2,40,3,0.3479316494908871,"[0.16181206103197585, 0.15064501448998077, 0.03547457396893051]"
ground_truth,0.1,region_pca,region,CA3,40,3,0.2782797465270265,"[0.12567422758030888, 0.09588891913838248, 0.0567165998083351]"
ground_truth,0.1,region_pca,region,DG,40,3,0.20339803435504245,"[0.14473729927759754, 0.029959312527759335, 0.02870142254968559]"
ground_truth,0.25,global_pca,,all,200,3,0.2729246623530059,"[0.12528313699091798, 0.08873918849304102, 0.05890233686904691]"
ground_truth,0.25,region_pca,region,CA1,80,3,0.43311548709702913,"[0.20721570093647565, 0.12973892967953982, 0.09616085648101363]"
ground_truth,0.25,region_pca,region,CA2,40,3,0.5351619569079691,"[0.25654683726071004, 0.23748513416342878, 0.04112998548383028]"
ground_truth,0.25,region_pca,region,CA3,40,3,0.41713261150954006,"[0.19582584598361713, 0.14467782178782018, 0.07662894373810278]"
ground_truth,0.25,region_pca,region,DG,40,3,0.3142465036557839,"[0.2615535120296037, 0.02715790062201757, 0.025535091004162614]"
ground_truth,0.5,global_pca,,all,200,3,0.3580430907073281,"[0.1661579904713391, 0.11600888576767016, 0.07587621446831883]"
ground_truth,0.5,region_pca,region,CA1,80,3,0.5317784449277915,"[0.2555275732874682, 0.15908061494957432, 0.11717025669074894]"
ground_truth,0.5,region_pca,region,CA2,40,3,0.6744618623257668,"[0.32859172463547115, 0.30238549102907125, 0.04348464666122438]"
ground_truth,0.5,region_pca,region,CA3,40,3,0.5213024102963453,"[0.24876993965223643, 0.18100495489199456, 0.09152751575211426]"
ground_truth,0.5,region_pca,region,DG,40,3,0.425007897187615,"[0.37811262113431576, 0.024160210123418676, 0.022735065929880584]"
ground_truth,1.0,global_pca,,all,200,3,0.43100849578208844,"[0.20313952163737845, 0.1391195160548213, 0.08874945808988867]"
ground_truth,1.0,region_pca,region,CA1,80,3,0.601954745473598,"[0.29022753017071073, 0.17989288432742884, 0.13183433097545835]"
ground_truth,1.0,region_pca,region,CA2,40,3,0.7840893385970461,"[0.38817159986131194, 0.35397512212048066, 0.04194261661525355]"
ground_truth,1.0,region_pca,region,CA3,40,3,0.6062245016934021,"[0.29236800683826353, 0.2110325590663029, 0.10282393578883578]"
ground_truth,1.0,region_pca,region,DG,40,3,0.5350530110586941,"[0.4926119076584257, 0.02179425099761587, 0.02064685240265253]"
