spike_source,source,feature_type,decode_window_s,update_dt_s,n_units,target_name,target_family,decoder_name,n_train_samples,n_test_samples,mean_position_error_cm,median_position_error_cm,p90_position_error_cm,r2_x,r2_y,r2,correlation,mae,rmse,mean_circular_error_deg,median_circular_error_deg,p90_circular_error_deg,mae_cm,rmse_cm,accuracy,balanced_accuracy,macro_f1,confusion_matrix,class_labels
sorted,sorted,counts,0.025,0.025,200,position,continuous,ridge,16800,7200,30.358211237540097,29.0801719170952,50.96212981154951,0.43271102747329526,0.4895668208764494,,,,,,,,,,,,,,
sorted,sorted,counts,0.025,0.025,200,position,continuous,pca_ridge,16800,7200,30.412660171452934,29.125915122908616,51.055457389742,0.43087560068409425,0.48809515316177277,,,,,,,,,,,,,,
sorted,sorted,counts,0.025,0.025,200,position,continuous,random_forest_regressor,16800,7200,37.157368426375584,36.292428720321766,60.17639667587394,0.20835828200235273,0.23314862817540483,,,,,,,,,,,,,,
sorted,sorted,counts,0.025,0.025,200,position,continuous,bayesian_place_decoder,16800,7200,25.849291599467616,21.068458929692195,52.60422611559904,0.44619415543798957,0.5847490868542252,,,,,,,,,,,,,,
sorted,sorted,counts,0.025,0.025,200,speed,continuous,ridge,16800,7200,,,,,,0.2879180635462867,0.5415047101642526,3.591716420083888,4.5503436228302405,,,,,,,,,,
sorted,sorted,counts,0.025,0.025,200,speed,continuous,pca_ridge,16800,7200,,,,,,0.28660292810339394,0.5404561436588915,3.594882311467334,4.554543671537465,,,,,,,,,,
sorted,sorted,counts,0.025,0.025,200,speed,continuous,random_forest_regressor,16800,7200,,,,,,0.21528970731743424,0.48694651902223557,3.7742024461300008,4.7767650874551615,,,,,,,,,,
sorted,sorted,counts,0.025,0.025,200,acceleration,continuous,ridge,16800,7200,,,,,,-0.0006258838689325863,0.06297195817109087,34.818941583567614,59.502487742126675,,,,,,,,,,
sorted,sorted,counts,0.025,0.025,200,acceleration,continuous,pca_ridge,16800,7200,,,,,,-0.0003154155075424381,0.06322348278140166,34.77581121082189,59.493255983603625,,,,,,,,,,
sorted,sorted,counts,0.025,0.025,200,acceleration,continuous,random_forest_regressor,16800,7200,,,,,,0.0015323005708911541,0.044059325193457746,33.08225963558419,59.43828459499593,,,,,,,,,,
sorted,sorted,counts,0.025,0.025,200,head_direction,continuous,ridge,16800,7200,,,,,,,,,,39.70380318772156,28.68066629757157,91.86716505889173,,,,,,,
sorted,sorted,counts,0.025,0.025,200,head_direction,continuous,pca_ridge,16800,7200,,,,,,,,,,39.7059066573842,28.803896771600627,91.03626711353255,,,,,,,
sorted,sorted,counts,0.025,0.025,200,head_direction,continuous,random_forest_regressor,16800,7200,,,,,,,,,,44.66348431176595,32.67149047119962,103.35999338230256,,,,,,,
sorted,sorted,counts,0.025,0.025,200,distance_to_wall,continuous,ridge,16800,7200,,,,,,0.13188235239065838,0.4688281993822147,,,,,,6.237691240942879,7.864847430382325,,,,,
sorted,sorted,counts,0.025,0.025,200,distance_to_wall,continuous,pca_ridge,16800,7200,,,,,,0.13265220941757405,0.46994061913782426,,,,,,6.238179054596283,7.86135933689579,,,,,
sorted,sorted,counts,0.025,0.025,200,distance_to_wall,continuous,random_forest_regressor,16800,7200,,,,,,0.10132808497638113,0.39514928348877854,,,,,,6.13131081193047,8.002056150147428,,,,,
sorted,sorted,counts,0.025,0.025,200,distance_to_wall,continuous,bayesian_place_decoder,16800,7200,,,,,,-1.3100886436881551,0.3470771739133367,,,,,,9.614751724045782,12.829665466972827,,,,,
sorted,sorted,counts,0.025,0.025,200,spatial_context,categorical,logistic_regression,16800,7200,,,,,,,,,,,,,,,0.5052777777777778,0.5524470960249177,0.5033863779572539,"[[804, 105, 194], [519, 1522, 1096], [845, 803, 1312]]","['center', 'corner', 'wall']"
sorted,sorted,counts,0.025,0.025,200,spatial_context,categorical,random_forest_classifier,16800,7200,,,,,,,,,,,,,,,0.4765277777777778,0.5176198622758863,0.47125070414805176,"[[745, 138, 220], [582, 1574, 981], [865, 983, 1112]]","['center', 'corner', 'wall']"
sorted,sorted,counts,0.025,0.025,200,spatial_context,categorical,bayesian_place_decoder_derived_context,16800,7200,,,,,,,,,,,,,,,0.44916666666666666,0.5105598334694886,0.44547621615611294,"[[811, 190, 102], [1144, 1260, 556], [1049, 925, 1163]]","['center', 'wall', 'corner']"
sorted,sorted,counts,0.025,0.025,200,movement_state,categorical,logistic_regression,16800,7200,,,,,,,,,,,,,,,0.5052777777777778,0.532590973187661,0.4216416476768425,"[[2257, 874, 515], [893, 1213, 1172], [14, 94, 168]]","['fast', 'slow', 'still']"
sorted,sorted,counts,0.025,0.025,200,movement_state,categorical,random_forest_classifier,16800,7200,,,,,,,,,,,,,,,0.5022222222222222,0.5475505541899738,0.40354444825200536,"[[2629, 554, 463], [1250, 800, 1228], [32, 57, 187]]","['fast', 'slow', 'still']"
sorted,sorted,counts,0.025,0.025,200,wall_distance_bin,categorical,logistic_regression,16800,7200,,,,,,,,,,,,,,,0.5791666666666667,0.5838439187560641,0.45646465174125117,"[[222, 77, 32], [409, 697, 343], [615, 1554, 3251]]","['center', 'middle', 'near_wall']"
sorted,sorted,counts,0.025,0.025,200,wall_distance_bin,categorical,random_forest_classifier,16800,7200,,,,,,,,,,,,,,,0.5936111111111111,0.5615249223023214,0.4556299462145892,"[[205, 87, 39], [387, 622, 440], [514, 1459, 3447]]","['center', 'middle', 'near_wall']"
sorted,sorted,counts,0.025,0.025,200,wall_distance_bin,categorical,bayesian_place_decoder_derived_context,16800,7200,,,,,,,,,,,,,,,0.46069444444444446,0.5063029237124044,0.3912231999274048,"[[2178, 2804, 438], [230, 997, 222], [21, 168, 142]]","['near_wall', 'middle', 'center']"
sorted,sorted,counts,0.05,0.025,200,position,continuous,ridge,16799,7200,24.822231591913216,23.08179513738317,42.86934451521095,0.6081705607642498,0.6505220524388242,,,,,,,,,,,,,,
sorted,sorted,counts,0.05,0.025,200,position,continuous,pca_ridge,16799,7200,24.831476088503834,22.98672393321324,42.90934801509539,0.6082032547607323,0.6495096871075574,,,,,,,,,,,,,,
