spike_source,decode_window_s,feature_type,grouping_name,group_name,n_units,n_components,explained_variance_sum,explained_variance_by_component
sorted,0.05,global_pca,,all,200,3,0.07658121590921116,"[0.03268634690082246, 0.024071277342842205, 0.0198235916655465]"
sorted,0.05,region_pca,region,CA1,80,3,0.12931184729372064,"[0.05662736131338561, 0.040635623841309504, 0.03204886213902554]"
sorted,0.05,region_pca,region,CA2,40,3,0.21171827978211197,"[0.09563029080565623, 0.07358697229167566, 0.0425010166847801]"
sorted,0.05,region_pca,region,CA3,40,3,0.1958773940902593,"[0.08468574367277164, 0.06345625390970097, 0.04773539650778672]"
sorted,0.05,region_pca,region,DG,40,3,0.1624350704926169,"[0.07709505062481889, 0.04296435247442985, 0.04237566739336818]"
sorted,0.1,global_pca,,all,200,3,0.11790649870904488,"[0.05258741172780105, 0.03684214616663042, 0.028476940814613404]"
sorted,0.1,region_pca,region,CA1,80,3,0.186096849477994,"[0.08526056389135643, 0.05811569817417926, 0.042720587412458294]"
sorted,0.1,region_pca,region,CA2,40,3,0.28551941155244165,"[0.14016642677579763, 0.10071884138329967, 0.04463414339334434]"
sorted,0.1,region_pca,region,CA3,40,3,0.2544043639394889,"[0.12042942078209257, 0.08142441849921643, 0.05255052465817991]"
sorted,0.1,region_pca,region,DG,40,3,0.19258073553469568,"[0.10921138052912835, 0.04188946154965564, 0.04147989345591169]"
sorted,0.25,global_pca,,all,200,3,0.20607541407424732,"[0.09505787364307501, 0.06447191824466415, 0.04654562218650816]"
sorted,0.25,region_pca,region,CA1,80,3,0.30378226004754283,"[0.1440482317742065, 0.0942831330614622, 0.06545089521187415]"
sorted,0.25,region_pca,region,CA2,40,3,0.4309489410315019,"[0.22824535887942352, 0.15498114587763082, 0.04772243627444756]"
sorted,0.25,region_pca,region,CA3,40,3,0.37379109424702706,"[0.1931290773457483, 0.11805238158300133, 0.06260963531827746]"
sorted,0.25,region_pca,region,DG,40,3,0.26597147004879895,"[0.1875361130658087, 0.039928931710894074, 0.038506425272096204]"
sorted,0.5,global_pca,,all,200,3,0.2920703825934091,"[0.1370423226863475, 0.09181045930873988, 0.06321760059832171]"
sorted,0.5,region_pca,region,CA1,80,3,0.41202814184995173,"[0.19804228186530184, 0.12713084748414658, 0.0868550125005033]"
sorted,0.5,region_pca,region,CA2,40,3,0.5589469420056274,"[0.3077760315420589, 0.20305721576561464, 0.04811369469795388]"
sorted,0.5,region_pca,region,CA3,40,3,0.4826451459999137,"[0.2600337007378585, 0.1512561222596806, 0.07135532300237465]"
sorted,0.5,region_pca,region,DG,40,3,0.347060471776589,"[0.2734368050877779, 0.038371274074447806, 0.0352523926143633]"
sorted,1.0,global_pca,,all,200,3,0.3791457633204919,"[0.1811473278716225, 0.12034588771810134, 0.07765254773076805]"
sorted,1.0,region_pca,region,CA1,80,3,0.5112150345058409,"[0.2476858821887743, 0.15695679731466525, 0.10657235500240135]"
sorted,1.0,region_pca,region,CA2,40,3,0.6739442848158943,"[0.3826016813023189, 0.24663600915852663, 0.044706594355048784]"
sorted,1.0,region_pca,region,CA3,40,3,0.584002247960345,"[0.32335430200903453, 0.18258316452017564, 0.07806478143113471]"
sorted,1.0,region_pca,region,DG,40,3,0.434724182910521,"[0.36231385646240993, 0.03725376990173311, 0.03515655654637794]"
