spike_source,source,feature_type,decode_window_s,update_dt_s,n_units,manifold_type,manifold_grouping,manifold_n_components,actual_n_features,explained_variance_ratio,manifold_transform_path,target_name,target_family,decoder_name,n_train_samples,n_test_samples,primary_metric,mean_position_error_cm,median_position_error_cm,p90_position_error_cm,r2_x,r2_y,r2,correlation,mae,rmse,mean_circular_error_deg,median_circular_error_deg,p90_circular_error_deg,mae_cm,rmse_cm,accuracy,balanced_accuracy,macro_f1,confusion_matrix,class_labels
sorted,sorted,counts,0.1,0.05,200,none,,,200,,outputs/ratinabox_003/decoder_comparison_manifold/models/manifold_transforms/counts_w0100ms,position,continuous,ridge,8398,3600,mean_position_error_cm,19.858220353986617,18.395461140777343,34.4613945496716,0.7499867690198541,0.7713677141884108,,,,,,,,,,,,,,
sorted,sorted,counts,0.1,0.05,200,none,,,200,,outputs/ratinabox_003/decoder_comparison_manifold/models/manifold_transforms/counts_w0100ms,position,continuous,pca_ridge,8398,3600,mean_position_error_cm,19.877212901376556,18.363820831318364,34.7093955838164,0.749721208080042,0.7704766601418578,,,,,,,,,,,,,,
sorted,sorted,counts,0.1,0.05,200,none,,,200,,outputs/ratinabox_003/decoder_comparison_manifold/models/manifold_transforms/counts_w0100ms,position,continuous,random_forest_regressor,8398,3600,mean_position_error_cm,21.908264766270005,19.288422263734994,40.65895115158503,0.6717336667163243,0.7003256815855132,,,,,,,,,,,,,,
sorted,sorted,counts,0.1,0.05,200,none,,,200,,outputs/ratinabox_003/decoder_comparison_manifold/models/manifold_transforms/counts_w0100ms,position,continuous,bayesian_place_decoder,8398,3600,mean_position_error_cm,17.85890814899885,13.1290373392385,39.12924215724974,0.6299292031392795,0.827365123370022,,,,,,,,,,,,,,
sorted,sorted,counts,0.1,0.05,200,none,,,200,,outputs/ratinabox_003/decoder_comparison_manifold/models/manifold_transforms/counts_w0100ms,speed,continuous,ridge,8398,3600,r2,,,,,,0.5187722879820901,0.7248195674306914,2.905019649697027,3.7461086734391422,,,,,,,,,,
sorted,sorted,counts,0.1,0.05,200,none,,,200,,outputs/ratinabox_003/decoder_comparison_manifold/models/manifold_transforms/counts_w0100ms,speed,continuous,pca_ridge,8398,3600,r2,,,,,,0.5212606015854064,0.7266502876467048,2.9000713550836705,3.7364110043348777,,,,,,,,,,
sorted,sorted,counts,0.1,0.05,200,none,,,200,,outputs/ratinabox_003/decoder_comparison_manifold/models/manifold_transforms/counts_w0100ms,speed,continuous,random_forest_regressor,8398,3600,r2,,,,,,0.43667057762674455,0.6953103213976994,3.160329380762056,4.053090256895732,,,,,,,,,,
sorted,sorted,counts,0.1,0.05,200,none,,,200,,outputs/ratinabox_003/decoder_comparison_manifold/models/manifold_transforms/counts_w0100ms,acceleration,continuous,ridge,8398,3600,r2,,,,,,0.0006985616798912408,0.10267660220600484,31.98248706026287,42.07966033224598,,,,,,,,,,
sorted,sorted,counts,0.1,0.05,200,none,,,200,,outputs/ratinabox_003/decoder_comparison_manifold/models/manifold_transforms/counts_w0100ms,acceleration,continuous,pca_ridge,8398,3600,r2,,,,,,0.0021446107310894025,0.10454247437314053,31.94516924659617,42.049203415226664,,,,,,,,,,
sorted,sorted,counts,0.1,0.05,200,none,,,200,,outputs/ratinabox_003/decoder_comparison_manifold/models/manifold_transforms/counts_w0100ms,acceleration,continuous,random_forest_regressor,8398,3600,r2,,,,,,0.016784316748451378,0.13076599183320195,31.695298365279207,41.73960818331444,,,,,,,,,,
