spike_source,decode_window_s,feature_type,grouping_name,group_name,n_units,n_components,explained_variance_sum,explained_variance_by_component
sorted,0.1,global_pca,,all,200,2,0.08942955789443147,"[0.05258741172780105, 0.03684214616663042]"
sorted,0.1,global_pca,,all,200,3,0.11790649870904488,"[0.05258741172780105, 0.03684214616663042, 0.028476940814613404]"
sorted,0.1,region_pca,region,CA1,80,2,0.1433762620655357,"[0.08526056389135643, 0.05811569817417926]"
sorted,0.1,region_pca,region,CA2,40,2,0.2408852681590973,"[0.14016642677579763, 0.10071884138329967]"
sorted,0.1,region_pca,region,CA3,40,2,0.201853839281309,"[0.12042942078209257, 0.08142441849921643]"
sorted,0.1,region_pca,region,DG,40,2,0.151100842078784,"[0.10921138052912835, 0.04188946154965564]"
sorted,0.1,region_pca,region,CA1,80,3,0.186096849477994,"[0.08526056389135643, 0.05811569817417926, 0.042720587412458294]"
sorted,0.1,region_pca,region,CA2,40,3,0.28551941155244165,"[0.14016642677579763, 0.10071884138329967, 0.04463414339334434]"
sorted,0.1,region_pca,region,CA3,40,3,0.2544043639394889,"[0.12042942078209257, 0.08142441849921643, 0.05255052465817991]"
sorted,0.1,region_pca,region,DG,40,3,0.19258073553469568,"[0.10921138052912835, 0.04188946154965564, 0.04147989345591169]"
sorted,0.25,global_pca,,all,200,2,0.15952979188773916,"[0.09505787364307501, 0.06447191824466415]"
sorted,0.25,global_pca,,all,200,3,0.20607541407424732,"[0.09505787364307501, 0.06447191824466415, 0.04654562218650816]"
sorted,0.25,region_pca,region,CA1,80,2,0.2383313648356687,"[0.1440482317742065, 0.0942831330614622]"
sorted,0.25,region_pca,region,CA2,40,2,0.38322650475705433,"[0.22824535887942352, 0.15498114587763082]"
sorted,0.25,region_pca,region,CA3,40,2,0.3111814589287496,"[0.1931290773457483, 0.11805238158300133]"
sorted,0.25,region_pca,region,DG,40,2,0.22746504477670276,"[0.1875361130658087, 0.039928931710894074]"
sorted,0.25,region_pca,region,CA1,80,3,0.30378226004754283,"[0.1440482317742065, 0.0942831330614622, 0.06545089521187415]"
sorted,0.25,region_pca,region,CA2,40,3,0.4309489410315019,"[0.22824535887942352, 0.15498114587763082, 0.04772243627444756]"
sorted,0.25,region_pca,region,CA3,40,3,0.37379109424702706,"[0.1931290773457483, 0.11805238158300133, 0.06260963531827746]"
sorted,0.25,region_pca,region,DG,40,3,0.26597147004879895,"[0.1875361130658087, 0.039928931710894074, 0.038506425272096204]"
