unit_id,cell_type,region,layer,channel,depth_um,place_x_cm,place_y_cm,hd_pref_rad,rate_model,ratinabox_class,subfield,cell_class,deep_superficial_coordinate,deep_superficial_group,proximodistal_coordinate,dorsoventral_coordinate,baseline_rate_hz,burst_index,waveform_width_ms,theta_modulation_strength,ripple_participation_probability,spatial_tuning_strength,head_direction_tuning_strength,speed_tuning_strength,boundary_tuning_strength,proximodistal_group,dorsoventral_group,projection_target,metadata_schema_version
0,CA1_pyr,CA1,pyramidal,15,280.0,2.1909600470982262,6.310514506250453,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
1,CA1_pyr,CA1,pyramidal,16,300.0,17.01431170437433,5.292958804375835,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
2,CA1_pyr,CA1,pyramidal,23,440.0,30.73123398058668,7.471346991747152,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
3,CA1_pyr,CA1,pyramidal,29,560.0,43.56025583052751,8.662399492056098,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
4,CA1_pyr,CA1,pyramidal,2,20.0,60.56198141017646,4.127702608327299,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
5,CA1_pyr,CA1,pyramidal,5,80.0,66.17564436138917,2.089674496431269,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
6,CA1_pyr,CA1,pyramidal,25,480.0,79.76543903542053,0.7142484535171655,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
7,CA1_pyr,CA1,pyramidal,29,560.0,97.00911468666617,4.083321722543228,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
8,CA1_pyr,CA1,pyramidal,8,140.0,4.891814376820748,14.325398327265049,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
9,CA1_pyr,CA1,pyramidal,10,180.0,19.247351876245,20.943168916232285,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
10,CA1_pyr,CA1,pyramidal,27,520.0,34.81094092632367,16.001951884139736,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
11,CA1_pyr,CA1,pyramidal,13,240.0,39.933655534705295,22.623361518557186,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
12,CA1_pyr,CA1,pyramidal,9,160.0,56.802080924005416,15.67940375945001,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
13,CA1_pyr,CA1,pyramidal,25,480.0,70.20261673766429,18.5783496464963,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
14,CA1_pyr,CA1,pyramidal,8,140.0,79.78601078756428,22.169005950102157,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
