spike_source,feature_type,decode_window_s,update_dt_s,n_units,target_name,decoder_name,n_train_samples,n_test_samples,mean_position_error_cm,median_position_error_cm,p90_position_error_cm,r2_x,r2_y,r2,correlation,mae,rmse,mean_circular_error_deg,median_circular_error_deg,p90_circular_error_deg,mae_cm,rmse_cm,accuracy,balanced_accuracy,macro_f1,confusion_matrix,class_labels
sorted,counts,0.025,0.025,650,position,ridge,16800,7200,34.84366565748595,32.865290493451674,59.55147199957124,0.21493874766500065,0.09212498284318815,,,,,,,,,,,,,,
sorted,counts,0.025,0.025,650,position,random_forest_regressor,16800,7200,37.02300173295945,35.75669888612519,59.899909937921436,0.1682974657109113,0.03039088176237903,,,,,,,,,,,,,,
sorted,counts,0.025,0.025,650,speed,ridge,16800,7200,,,,,,-0.12712633301684795,-0.026430188815949433,4.355626400390023,5.427160845430934,,,,,,,,,,
sorted,counts,0.025,0.025,650,speed,random_forest_regressor,16800,7200,,,,,,-0.022390771195775372,-0.050397439541257055,4.151791560885658,5.168861021267842,,,,,,,,,,
sorted,counts,0.025,0.025,650,acceleration,ridge,16800,7200,,,,,,-0.07152471174989672,-0.012342926268603666,37.83429143766514,59.441746403659955,,,,,,,,,,
sorted,counts,0.025,0.025,650,acceleration,random_forest_regressor,16800,7200,,,,,,-0.00616595058053071,-0.01575769853993982,32.49709306829788,57.60036999226912,,,,,,,,,,
sorted,counts,0.025,0.025,650,head_direction,ridge,16800,7200,,,,,,,,,,82.88331359442925,79.08696148311546,158.70977847084382,,,,,,,
sorted,counts,0.025,0.025,650,head_direction,random_forest_regressor,16800,7200,,,,,,,,,,76.6013011276352,69.83547359500196,153.00338572294885,,,,,,,
sorted,counts,0.025,0.025,650,distance_to_wall,ridge,16800,7200,,,,,,0.26842824975291857,0.5887326174171774,,,,,,6.632729208159053,8.393145833751982,,,,,
sorted,counts,0.025,0.025,650,distance_to_wall,random_forest_regressor,16800,7200,,,,,,0.17257714802498736,0.4214637966854359,,,,,,7.293706026775643,8.926065335514267,,,,,
sorted,counts,0.025,0.025,650,spatial_context,logistic_regression,16800,7200,,,,,,,,,,,,,,,0.5927777777777777,0.6025386810089436,0.5952565122084218,"[[1257, 233, 340], [396, 1581, 787], [528, 648, 1430]]","['center', 'corner', 'wall']"
sorted,counts,0.025,0.025,650,spatial_context,random_forest_classifier,16800,7200,,,,,,,,,,,,,,,0.5218055555555555,0.5221660932886352,0.5219828788346289,"[[951, 304, 575], [461, 1364, 939], [396, 768, 1442]]","['center', 'corner', 'wall']"
sorted,counts,0.025,0.025,650,movement_state,logistic_regression,16800,7200,,,,,,,,,,,,,,,0.39263888888888887,0.3229883642224342,0.308072474354452,"[[1288, 1299, 634], [1541, 1495, 679], [132, 88, 44]]","['fast', 'slow', 'still']"
